amph_id,mouse_name
bf_00015444,Myh9
bf_00015444,Myh10
bf_00015444,Myh14
bf_00015444,Myh11
bf_00020965,Acta1
bf_00020965,Actc1
bf_00020965,Actg2
bf_00020965,Acta2
bf_00019987,Fgl1
bf_00015616,H3f3a
bf_00001915,LOC105242736
bf_00001915,Gm12657
bf_00020630,Hist1h3a
bf_00020630,Hist1h3h
bf_00020630,Hist1h3i
bf_00020630,Hist1h3g
bf_00020630,Gm12260
bf_00015651,Hist1h3d
bf_00015651,Hist1h3b
bf_00015686,Hist1h3c
bf_00008121,Tuba8
bf_00022087,Tuba1b
bf_00022087,Tuba1a
bf_00011508,Tuba3b
bf_00011508,Tuba3a
bf_00015631,Hist1h4h
bf_00015631,Hist1h4a
bf_00015631,Hist1h4m
bf_00015631,Hist1h4c
bf_00015631,Hist1h4j
bf_00008434,Hist4h4
bf_00000168,Rdh14
bf_00020562,Gm32766
bf_00018393,Col4a3
bf_00018393,Col4a5
bf_00018393,Col4a1
bf_00018394,Col4a4
bf_00018394,Col4a2
bf_00018394,Col4a6
bf_00003262,Rgs17
bf_00003262,Rgs20
bf_00003262,Rgs19
bf_00003262,Rgs21
bf_00003262,Rgs1
bf_00003262,Rgs13
bf_00003262,Rgs2
bf_00003262,Rgs18
bf_00003262,Rgs16
bf_00003262,Rgs5
bf_00003262,Rgs4
bf_00003262,Rgs8
bf_00021584,Slc16a13
bf_00002636,Frk
bf_00003322,Srms
bf_00003322,Ptk6
bf_00015800,Clec4d
bf_00015800,Clec4b1
bf_00015800,Clec4b2
bf_00015800,Clec4a4
bf_00015800,Clec4a2
bf_00015800,Clec4a3
bf_00015800,Clec4a1
bf_00015800,Clec4n
bf_00015800,Clec4e
bf_00015800,Cd209g
bf_00013571,Prss55
bf_00014388,Ctsl
bf_00014388,Ctsll3
bf_00014388,BC051665
bf_00014388,4930486L24Rik
bf_00014388,Ctsj
bf_00014388,Ctss
bf_00002437,Slc5a11
bf_00025909,Rhog
bf_00023899,Tubb4a
bf_00023899,Tubb4b
bf_00023899,Tubb5
bf_00025103,Muc19
bf_00025103,Muc5b
bf_00025103,Muc5ac
bf_00025103,Muc2
bf_00017838,Slc6a14
bf_00017835,Slc6a5
bf_00022331,Arf3
bf_00022331,Arf1
bf_00022331,Arf2
bf_00008385,Arf4
bf_00008385,Arf5
