amph_id,zebrafish_id,zebrafish_name
bf_00024086,ENSDARG00000007711,rab3il1
bf_00006244,ENSDARG00000037476,sorbs3
bf_00020347,ENSDARG00000090472,ttll10
bf_00019105,ENSDARG00000002215,rtca
bf_00012728,ENSDARG00000038834,etfdh
bf_00021413,ENSDARG00000100623,trrap
bf_00018314,ENSDARG00000103953,med12
bf_00001027,ENSDARG00000008473,asb14a
bf_00009463,ENSDARG00000027824,top1mt
bf_00013877,ENSDARG00000001969,txlng
bf_00000758,ENSDARG00000012222,nup35
bf_00023884,ENSDARG00000087176,rskra
bf_00010017,ENSDARG00000032298,tbc1d20
bf_00025969,ENSDARG00000019207,abo
bf_00002025,ENSDARG00000075437,shc1
bf_00009289,ENSDARG00000054458,slmapa
bf_00024141,ENSDARG00000102443,shank2a
bf_00002776,ENSDARG00000078757,si:ch211-212c13.8
bf_00025132,ENSDARG00000102254,pycr1a
bf_00006266,ENSDARG00000037555,atoh8
bf_00006323,ENSDARG00000038159,tcf7l1a
bf_00000779,ENSDARG00000019507,mcm5
bf_00009748,ENSDARG00000014577,rhpn2
bf_00014345,ENSDARG00000095896,pou3f3b
bf_00002526,ENSDARG00000045355,eloca
bf_00026186,ENSDARG00000036510,ccnt2b
bf_00011808,ENSDARG00000022213,uck2b
bf_00005696,ENSDARG00000112572,CR293507.1
bf_00024726,ENSDARG00000059870,clk2b
bf_00005075,ENSDARG00000003132,apip
bf_00022839,ENSDARG00000056666,sp8b
bf_00013319,ENSDARG00000025972,mcts1
bf_00025846,ENSDARG00000054007,ppp1r2
bf_00021584,ENSDARG00000055342,slc16a13
bf_00002109,ENSDARG00000004094,acsbg2
bf_00025977,ENSDARG00000070581,ggact.1
bf_00013857,ENSDARG00000058924,pou1f1
bf_00011241,ENSDARG00000030108,sec22ba
bf_00021177,ENSDARG00000039007,eno3
bf_00006692,ENSDARG00000074502,zmiz1a
bf_00006356,ENSDARG00000012953,mob1bb
bf_00006299,ENSDARG00000003287,wdr12
bf_00025064,ENSDARG00000067665,fam167aa
bf_00012684,ENSDARG00000041435,uba52
bf_00016504,ENSDARG00000088593,chst1
