amph_id,human_name
bf_00015444,MYH9
bf_00015444,MYH10
bf_00015444,MYH14
bf_00015444,MYH11
bf_00020965,ACTA1
bf_00020965,ACTC1
bf_00020965,ACTG2
bf_00020965,ACTA2
bf_00019987,FGL1
bf_00015616,H3F3A
bf_00015616,H3F3B
bf_00001915,H3.Y
bf_00020630,HIST1H3B
bf_00020630,HIST1H3J
bf_00020630,HIST1H3D
bf_00020630,HIST1H3A
bf_00020630,HIST1H3E
bf_00020630,HIST1H3C
bf_00020630,HIST1H3G
bf_00020630,HIST1H3H
bf_00020630,HIST1H3F
bf_00020630,HIST1H3I
bf_00020630,HIST3H3
bf_00008121,TUBA8
bf_00022087,TUBA1B
bf_00022087,TUBA1A
bf_00011508,TUBA3D
bf_00011508,TUBA3E
bf_00011508,TUBA3C
bf_00015631,HIST1H4K
bf_00015631,HIST1H4C
bf_00015631,HIST1H4D
bf_00015631,HIST1H4H
bf_00015631,HIST1H4J
bf_00015631,HIST4H4
bf_00015631,HIST1H4B
bf_00015631,HIST1H4A
bf_00015649,HIST1H4F
bf_00000168,RDH14
bf_00020562,CLEC19A
bf_00008598,THAP10
bf_00018393,COL4A3
bf_00018393,COL4A5
bf_00018393,COL4A1
bf_00018394,COL4A4
bf_00018394,COL4A2
bf_00018394,COL4A6
bf_00003262,RGS17
bf_00003262,RGS20
bf_00003262,RGS19
bf_00003262,RGS21
bf_00003262,RGS1
bf_00003262,RGS13
bf_00003262,RGS2
bf_00003262,RGS18
bf_00003262,RGS16
bf_00003262,RGS5
bf_00003262,RGS4
bf_00003262,RGS8
bf_00021584,SLC16A13
bf_00002636,FRK
bf_00003322,SRMS
bf_00003322,PTK6
bf_00015800,CLEC4D
bf_00015800,CLEC4A
bf_00015800,CLEC4C
bf_00015800,CLEC6A
bf_00015800,CLEC4E
bf_00014388,CTSV
bf_00014388,CTSL
bf_00014388,CTSS
bf_00002437,SLC5A11
bf_00025909,RHOG
bf_00023899,TUBB4A
bf_00023899,TUBB4B
bf_00023899,TUBB
bf_00025103,MUC19
bf_00025103,MUC5B
bf_00025103,MUC5AC
bf_00025103,MUC2
bf_00017838,SLC6A14
bf_00017835,SLC6A5
bf_00022331,ARF3
bf_00008385,ARF4
bf_00008385,ARF5
bf_00021764,ARL5B
bf_00021764,ARL5A
bf_00021764,ARL5C
