QueryID,Symbol,Protein,Family,E.value,BitScore,annos
bf_00000001,BX890597.3,ENSDARP00000146897,RHD,8.325320000000001e-69,231.0,ASB6
bf_00016125,foxj1a,,,,,FoxJ1
bf_00000004,sim1a,ENSDARP00000033085,bHLH,1.27683e-155,486.0,HIF1A
bf_00016125,foxj1b,,,,,FoxJ1
bf_00000015,hic2,ENSDARP00000137761,ZBTB,1.61603e-56,191.0,Klhl24
bf_00014387,foxj1a,,,,,QKI
bf_00000018,setdb1a,ENSDARP00000060441,MBD,3.35352e-35,144.0,KIAA0586
bf_00003859,foxj1b,,,,,Foxb1
bf_00000028,nfkb2,ENSDARP00000121285,RHD,2.5833199999999998e-92,299.0,ASB2
bf_00017975,sox2,,,,,SoxB1c
bf_00000032,znf1026,ENSDARP00000139917,zf-C2H2,0.0,945.0,ZNF160
bf_00001714,sox2,,,,,SOX2
bf_00000033,CABZ01034082.1,ENSDARP00000136262,zf-C2H2,5.10035e-171,472.0,ZNF723
bf_00001715,sox2,,,,,SoxB1a
bf_00000034,znf992,ENSDARP00000138537,zf-C2H2,0.0,674.0,ZNF98
bf_00015548,hoxc11b,,,,,BARHL1
bf_00000036,arid2,ENSDARP00000099617,ARID,1.34567e-71,259.0,Bcell_0381
bf_00012984,hoxd11a,,,,,Cdx
bf_00000039,zgc:158366,ENSDARP00000155751,zf-C2H2,8.975109999999999e-39,146.0,CRNKL1
bf_00012942,hoxa11b,,,,,SHROOM2
bf_00000041,arid1b,ENSDARP00000119606,ARID,1.00136e-53,204.0,CFAP61
bf_00016584,tbx6/16/24,,,,,Tbx6_16_24_VegT
bf_00000042,rfx7b,ENSDARP00000133236,RFX,4.39856e-128,438.0,"KIF26B,KIF26A"
bf_00017552,tbx6/16/24,,,,,TBX5
bf_00000047,dharma,ENSDARP00000060017,Homeobox,3.60282e-33,121.0,Paf-AHalpha
bf_00012743,hand2,,,,,Hand
bf_00000048,si:dkey-40n15,ENSDARP00000125485,zf-C2H2,1.12443e-97,282.0,Gastrula zinc finger protein XlCGF57.1
bf_00002603,arid1ab,,,,,Eya
bf_00000049,znf1026,ENSDARP00000144923,zf-C2H2,0.0,1161.0,ZNF208
bf_00001980,six4b,,,,,Six4_5
bf_00000050,znf1036,ENSDARP00000125431,zf-C2H2,0.0,686.0,ZNF678
bf_00001980,six4a,,,,,Six4_5
bf_00000051,znf1026,ENSDARP00000139917,zf-C2H2,0.0,950.0,ZNF271
bf_00020967,pax7a,,,,,"PAX3,PAX7"
bf_00000053,znf992,ENSDARP00000138537,zf-C2H2,0.0,746.0,ZNF678
bf_00020967,pax3a,,,,,"PAX3,PAX7"
bf_00000060,cux1a,ENSDARP00000075613,CUT,5.63998e-91,317.0,DISC1
bf_00020967,pax7b,,,,,"PAX3,PAX7"
bf_00000070,setdb1a,ENSDARP00000060441,MBD,2.2630400000000002e-70,248.0,ZC3H14
bf_00020968,pax7a,,,,,Pax3_7
bf_00000071,arid1ab,ENSDARP00000153725,ARID,1.7428600000000002e-106,353.0,"PAK5,PAK4,PAK6,BUB1B-PAK6"
bf_00020968,pax7a,,,,,Pax3_7
bf_00000072,arid4a,ENSDARP00000064411,ARID,2.11755e-53,191.0,lamp5
bf_00012984,cdx1b,,,,,Cdx
bf_00000079,kmt2cb,ENSDARP00000122949,HMG,9.66014e-132,419.0,C2orf73
bf_00002546,sox7,,,,,Sox17
bf_00000082,arid1b,ENSDARP00000146446,ARID,5.77406e-151,515.0,YLPM1
bf_00002546,sox17,,,,,Sox17
bf_00000083,hlx1,ENSDARP00000116160,Homeobox,3.0787e-94,283.0,HLX
bf_00001160,pax9,,,,,Pax1_9
bf_00000090,dbpa,ENSDARP00000086140,TF_bZIP,3.0614e-49,165.0,HLF
bf_00001985,six3a,,,,,Six3_6
bf_00000118,si:ch211-236l14,ENSDARP00000119801,THAP,1.7589499999999999e-162,478.0,CSN12
bf_00001985,six3b,,,,,Six3_6
bf_00000122,srebf1,ENSDARP00000087097,bHLH,1.3135399999999999e-27,104.0,HI_0712
bf_00001955,nkx2,,,,,Nkx2.1
bf_00000127,kmt2cb,ENSDARP00000122949,HMG,5.6412099999999994e-65,242.0,"FMN2,FMN1"
bf_00001955,nkx2.4a,,,,,Nkx2.1
bf_00000128,kmt2cb,ENSDARP00000122949,HMG,2.1128999999999998e-40,152.0,PHF10
bf_00000272,otx2b,,,,,Otx
bf_00000129,hivep1,ENSDARP00000136102,zf-C2H2,7.78919e-150,498.0,TPC1
bf_00001160,pax9,,,,,Pax1_9
bf_00000132,si:dkeyp-84f3,ENSDARP00000127807,zf-C2H2,1.29108e-72,261.0,AKAP6
bf_00008220,znf977,,,,,Fezf_Fezf
bf_00000133,sim1a,ENSDARP00000033085,bHLH,0.0,705.0,"NPAS1,NPAS3"
bf_00012030,lhx2b,,,,,Lhx2_9b
bf_00000136,setdb1a,ENSDARP00000060441,MBD,4.0268699999999997e-50,189.0,AP5M1
bf_00012031,lhx2a,,,,,"LHX9,LHX2"
bf_00000146,CR847936.6,ENSDARP00000145978,THAP,0.0,521.0,PGBD5
bf_00012030,lhx9,,,,,Lhx2_9b
bf_00000147,june,ENSDARP00000135760,TF_bZIP,3.03467e-45,162.0,SEL1L
bf_00012031,lhx9,,,,,"LHX9,LHX2"
bf_00000154,irx3b,ENSDARP00000042270,Homeobox,3.81033e-30,117.0,"CASQ2,CASQ1"
bf_00014360,neurog3,,,,,OligA
bf_00000164,kmt2cb,ENSDARP00000122949,HMG,7.1726e-72,256.0,KAT7
bf_00014362,olig2,,,,,OligB_OligC
bf_00000171,cux1a,ENSDARP00000150637,CUT,2.3410399999999998e-36,146.0,"HNRNPUL2,HNRNPU,HNRNPUL1"
bf_00014946,pou3f3b,,,,,Brn1_2_3
bf_00000180,tomm20a,ENSDARP00000107839,ARID,1.64682e-75,255.0,"SOCS4,SOCS5"
bf_00014946,pou3f3a,,,,,Brn1_2_3
bf_00000182,wdhd1,ENSDARP00000113096,HMG,0.0,1762.0,WDHD1
bf_00006728,pax2b,,,,,Pax2_5_8
bf_00000184,si:ch73-120g24,ENSDARP00000132268,zf-C2H2,1.6900099999999999e-37,146.0,TRIM71
bf_00006728,pax2a,,,,,Pax2_5_8
bf_00000185,tcf12,ENSDARP00000143194,bHLH,4.17526e-38,143.0,lce
bf_00026128,hoxa1a,,,,,Hox1
bf_00000191,znf1026,ENSDARP00000139917,zf-C2H2,0.0,1006.0,ZNF160
bf_00026130,hoxd3a,,,,,Hox3
bf_00000192,znf992,ENSDARP00000138537,zf-C2H2,0.0,762.0,ZNF726
bf_00026130,hoxb3a,,,,,Hox3
bf_00000193,znf980,ENSDARP00000143351,zf-C2H2,0.0,565.0,ZNF723
bf_00026130,hoxc3a,,,,,Hox3
bf_00000198,bcl6ab,ENSDARP00000116903,ZBTB,1.84533e-47,170.0,"BTBD3,BTBD6"
bf_00005814,msx1a,,,,,Msx
bf_00000201,rerea,ENSDARP00000102789,zf-GATA,6.14725e-33,135.0,"DAAM2,DAAM1"
bf_00005814,msx1b,,,,,Msx
bf_00000203,baz2ba,ENSDARP00000126215,MBD,8.90529e-64,225.0,PLEKHD1
bf_00005814,msx3,,,,,Msx
bf_00000205,tulp4b,ENSDARP00000086251,Tub,1.37129e-55,186.0,PF11_0240
bf_00005814,msx2a,,,,,Msx
bf_00000206,znf977,ENSDARP00000125443,zf-C2H2,4.92811e-97,287.0,Rest
bf_00005814,msx2b,,,,,Msx
bf_00000207,si:dkey-40n15,ENSDARP00000125485,zf-C2H2,1.45129e-84,250.0,Rest
bf_00005814,msx1a,,,,,Msx
bf_00000210,baz2ba,ENSDARP00000143831,MBD,2.06907e-65,226.0,PNN
bf_00004698,tlx1,,,,,Tlx_Tlx 
bf_00000216,bach2b,ENSDARP00000116013,TF_bZIP,9.38548e-53,190.0,KLHL28
bf_00004698,tlx2,,,,,Tlx_Tlx 
bf_00000217,setdb1a,ENSDARP00000060441,MBD,2.57177e-88,315.0,"TOGARAM1,TOGARAM2"
bf_00004698,tlx2,,,,,Tlx_Tlx 
bf_00000229,CABZ01034082.1,ENSDARP00000136262,zf-C2H2,1.33178e-169,474.0,"YY2,YY1"
bf_00004698,tlx1,,,,,Tlx_Tlx 
bf_00000230,nfkb2,ENSDARP00000121285,RHD,9.710979999999999e-92,308.0,TrpA1
bf_00026143,hoxc6b,,,,,"HOXC13,HOXB13,HOXA13"
bf_00000235,arid4a,ENSDARP00000064411,ARID,2.07768e-38,152.0,"NCAM1,NCAM2"
bf_00026136,hoxd4a,,,,,HOXA7
bf_00000238,baz2ba,ENSDARP00000126215,MBD,2.50526e-52,181.0,xseA
bf_00026135,hoxb8a,,,,,"HOXA7,HOXB7"
bf_00000250,kmt2cb,ENSDARP00000122949,HMG,1.7621e-98,331.0,Hsp67Ba
bf_00026135,hoxb6a,,,,,"HOXA7,HOXB7"
bf_00000262,barx1,ENSDARP00000014797,Homeobox,1.1402e-61,193.0,BARX1
bf_00026135,hoxb8b,,,,,"HOXA7,HOXB7"
bf_00000265,fosaa,ENSDARP00000135189,TF_bZIP,6.359229999999999e-78,259.0,CFAP44
bf_00026134,hoxc6b,,,,,"HOXC6,HOXA6,HOXB6"
bf_00000267,pou2f1b,ENSDARP00000116250,Pou,1.09604e-90,294.0,POU2F3
bf_00026134,hoxc6b,,,,,"HOXC6,HOXA6,HOXB6"
bf_00000269,si:ch211-191d2,ENSDARP00000124764,zf-C2H2,1.6735900000000002e-63,217.0,"PRKCE,PRKCH"
bf_00026139,nkx2.4b,,,,,HOXA9
bf_00000271,gsx2,ENSDARP00000063600,Homeobox,7.987470000000001e-61,191.0,Gsc_goosecoid
bf_00026137,hoxd9a,,,,,hoxd9a
bf_00000272,otx2b,ENSDARP00000020202,TF_Otx,2.58472e-73,225.0,Otx
bf_00012238,lhx4,,,,,Lhx3
bf_00000273,setdb1a,ENSDARP00000060441,MBD,4.86512e-93,324.0,"EHBP1,EHBP1L1"
bf_00012238,LHX3,,,,,Lhx3
